wl	n
0.188	1.29
0.192	1.35
0.195	1.42
0.199	1.45
0.203	1.47
0.207	1.49
0.212	1.47
0.216	1.47
0.221	1.47
0.226	1.47
0.231	1.48
0.237	1.48
0.243	1.50
0.249	1.51
0.255	1.53
0.262	1.56
0.269	1.59
0.276	1.62
0.284	1.64
0.292	1.65
0.301	1.67
0.311	1.69
0.320	1.74
0.332	1.78
0.342	1.85
0.354	1.93
0.368	2.02
0.381	2.12
0.397	2.24
0.413	2.35
0.431	2.48
0.451	2.59
0.471	2.67
0.496	2.74
0.521	2.86
0.549	2.95
0.582	2.94
0.617	2.88
0.659	2.92
0.704	2.86
0.756	2.87
0.821	2.94
0.892	2.96
0.984	2.92
1.088	2.97
1.216	3.03
1.393	3.09
1.610	3.11
1.937	3.17

wl	k
0.188	1.35
0.192	1.37
0.195	1.39
0.199	1.40
0.203	1.40
0.207	1.41
0.212	1.43
0.216	1.44
0.221	1.47
0.226	1.49
0.231	1.53
0.237	1.57
0.243	1.61
0.249	1.66
0.255	1.70
0.262	1.75
0.269	1.79
0.276	1.84
0.284	1.88
0.292	1.94
0.301	2.00
0.311	2.06
0.320	2.12
0.332	2.19
0.342	2.27
0.354	2.35
0.368	2.43
0.381	2.50
0.397	2.58
0.413	2.65
0.431	2.71
0.451	2.77
0.471	2.82
0.496	2.88
0.521	2.91
0.549	2.93
0.582	2.99
0.617	3.05
0.659	3.10
0.704	3.19
0.756	3.28
0.821	3.39
0.892	3.56
0.984	3.79
1.088	4.06
1.216	4.39
1.393	4.83
1.610	5.39
1.937	6.12
