wl	n
0.188	1.10
0.192	1.16
0.195	1.22
0.199	1.25
0.203	1.27
0.207	1.31
0.212	1.31
0.216	1.32
0.221	1.32
0.226	1.32
0.231	1.31
0.237	1.30
0.243	1.28
0.249	1.27
0.255	1.26
0.262	1.27
0.269	1.27
0.276	1.30
0.284	1.35
0.292	1.40
0.301	1.45
0.311	1.50
0.320	1.55
0.332	1.61
0.342	1.72
0.354	1.82
0.368	1.90
0.381	1.99
0.397	2.08
0.413	2.14
0.431	2.21
0.451	2.27
0.471	2.32
0.496	2.36
0.521	2.44
0.549	2.54
0.582	2.60
0.617	2.67
0.659	2.76
0.704	2.86
0.756	3.00
0.821	3.21
0.892	3.29
0.984	3.35
1.088	3.50
1.216	3.62
1.393	3.67
1.610	3.69
1.937	3.51

wl	k
0.188	1.62
0.192	1.64
0.195	1.66
0.199	1.68
0.203	1.69
0.207	1.69
0.212	1.68
0.216	1.67
0.221	1.66
0.226	1.66
0.231	1.68
0.237	1.72
0.243	1.77
0.249	1.83
0.255	1.91
0.262	1.99
0.269	2.07
0.276	2.17
0.284	2.26
0.292	2.36
0.301	2.46
0.311	2.57
0.320	2.66
0.332	2.74
0.342	2.82
0.354	2.87
0.368	2.90
0.381	2.93
0.397	2.95
0.413	2.98
0.431	3.01
0.451	3.04
0.471	3.10
0.496	3.19
0.521	3.30
0.549	3.43
0.582	3.58
0.617	3.72
0.659	3.84
0.704	3.96
0.756	4.01
0.821	4.01
0.892	3.96
0.984	3.97
1.088	4.02
1.216	4.15
1.393	4.37
1.610	4.70
1.937	5.19
