wl	n
0.188	1.28
0.192	1.31
0.195	1.35
0.199	1.39
0.203	1.43
0.207	1.46
0.212	1.46
0.216	1.47
0.221	1.45
0.226	1.43
0.231	1.40
0.237	1.38
0.243	1.36
0.249	1.36
0.255	1.37
0.262	1.38
0.269	1.39
0.276	1.43
0.284	1.45
0.292	1.48
0.301	1.53
0.311	1.58
0.320	1.65
0.332	1.69
0.342	1.76
0.354	1.84
0.368	1.87
0.381	1.92
0.397	2.00
0.413	2.08
0.431	2.19
0.451	2.33
0.471	2.51
0.496	2.75
0.521	2.94
0.549	3.18
0.582	3.22
0.617	3.17
0.659	3.09
0.704	3.05
0.756	3.08
0.821	3.20
0.892	3.30
0.984	3.41
1.088	3.58
1.216	3.67
1.393	3.69
1.610	3.66
1.937	3.71

wl	k
0.188	1.64
0.192	1.65
0.195	1.68
0.199	1.70
0.203	1.70
0.207	1.71
0.212	1.72
0.216	1.72
0.221	1.73
0.226	1.74
0.231	1.77
0.237	1.80
0.243	1.85
0.249	1.91
0.255	1.97
0.262	2.03
0.269	2.08
0.276	2.15
0.284	2.21
0.292	2.28
0.301	2.34
0.311	2.40
0.320	2.47
0.332	2.53
0.342	2.58
0.354	2.64
0.368	2.69
0.381	2.74
0.397	2.83
0.413	2.93
0.431	3.04
0.451	3.14
0.471	3.24
0.496	3.30
0.521	3.33
0.549	3.33
0.582	3.30
0.617	3.30
0.659	3.34
0.704	3.39
0.756	3.42
0.821	3.48
0.892	3.52
0.984	3.57
1.088	3.58
1.216	3.60
1.393	3.84
1.610	4.31
1.937	5.04
